Time, ProductionCenter, WorkersCount, BufferCount
30.0, Производственный центр №2, 2, 1
30.0, Производственный центр №3, 0, 1
30.0, Производственный центр №4, 0, 2
30.0, Производственный центр №5, 2, 4
31.0, Производственный центр №1, 2, 474
31.0, Производственный центр №2, 0, 0
31.0, Производственный центр №3, 1, 2
31.0, Производственный центр №4, 3, 4
31.0, Производственный центр №5, 0, 2
32.0, Производственный центр №1, 2, 474
32.0, Производственный центр №2, 0, 0
32.0, Производственный центр №3, 1, 2
32.0, Производственный центр №4, 3, 3
32.0, Производственный центр №5, 0, 3
33.0, Производственный центр №1, 2, 473
33.0, Производственный центр №2, 2, 1
33.0, Производственный центр №3, 2, 2
33.0, Производственный центр №4, 0, 1
33.0, Производственный центр №5, 0, 5
34.0, Производственный центр №1, 2, 472
34.0, Производственный центр №2, 2, 1
34.0, Производственный центр №3, 0, 1
34.0, Производственный центр №4, 0, 2
34.0, Производственный центр №5, 2, 4
35.0, Производственный центр №1, 2, 471
35.0, Производственный центр №2, 1, 1
35.0, Производственный центр №3, 0, 1
35.0, Производственный центр №4, 3, 3
35.0, Производственный центр №5, 0, 2
36.0, Производственный центр №1, 2, 470
36.0, Производственный центр №2, 1, 2
36.0, Производственный центр №3, 0, 1
36.0, Производственный центр №4, 3, 3
36.0, Производственный центр №5, 0, 2
37.0, Производственный центр №1, 2, 469
37.0, Производственный центр №2, 2, 2
37.0, Производственный центр №3, 0, 1
37.0, Производственный центр №4, 2, 2
37.0, Производственный центр №5, 0, 4
38.0, Производственный центр №1, 2, 468
38.0, Производственный центр №2, 0, 1
38.0, Производственный центр №3, 2, 2
38.0, Производственный центр №4, 2, 3
38.0, Производственный центр №5, 0, 2
39.0, Производственный центр №1, 2, 467
39.0, Производственный центр №2, 0, 2
39.0, Производственный центр №3, 2, 2
39.0, Производственный центр №4, 2, 3
39.0, Производственный центр №5, 0, 2
40.0, Производственный центр №1, 2, 466
40.0, Производственный центр №2, 2, 2
40.0, Производственный центр №3, 2, 1
40.0, Производственный центр №4, 0, 4
40.0, Производственный центр №5, 0, 3
41.0, Производственный центр №1, 2, 466
41.0, Производственный центр №2, 2, 2
41.0, Производственный центр №3, 0, 1
41.0, Производственный центр №4, 2, 2
41.0, Производственный центр №5, 0, 5
42.0, Производственный центр №1, 2, 464
42.0, Производственный центр №2, 0, 1
42.0, Производственный центр №3, 1, 2
42.0, Производственный центр №4, 3, 4
42.0, Производственный центр №5, 0, 3
43.0, Производственный центр №1, 2, 464
43.0, Производственный центр №2, 0, 1
43.0, Производственный центр №3, 1, 2
43.0, Производственный центр №4, 3, 4
43.0, Производственный центр №5, 0, 3
44.0, Производственный центр №1, 2, 464
44.0, Производственный центр №2, 2, 1
44.0, Производственный центр №3, 0, 1
44.0, Производственный центр №4, 2, 1
44.0, Производственный центр №5, 0, 7
45.0, Производственный центр №1, 2, 462
45.0, Производственный центр №2, 0, 1
45.0, Производственный центр №3, 0, 1
45.0, Производственный центр №4, 2, 3
45.0, Производственный центр №5, 2, 5
46.0, Производственный центр №1, 2, 462
46.0, Производственный центр №2, 0, 1
46.0, Производственный центр №3, 0, 1
46.0, Производственный центр №4, 3, 3
46.0, Производственный центр №5, 1, 3
47.0, Производственный центр №1, 2, 461
47.0, Производственный центр №2, 2, 1
47.0, Производственный центр №3, 2, 2
47.0, Производственный центр №4, 0, 1
47.0, Производственный центр №5, 0, 5
48.0, Производственный центр №1, 2, 460
48.0, Производственный центр №2, 0, 1
48.0, Производственный центр №3, 2, 2
48.0, Производственный центр №4, 0, 2
48.0, Производственный центр №5, 2, 3
49.0, Производственный центр №1, 2, 459
49.0, Производственный центр №2, 2, 1
49.0, Производственный центр №3, 2, 2
49.0, Производственный центр №4, 0, 3
49.0, Производственный центр №5, 0, 3
50.0, Производственный центр №1, 2, 458
50.0, Производственный центр №2, 2, 2
50.0, Производственный центр №3, 2, 1
50.0, Производственный центр №4, 0, 3
50.0, Производственный центр №5, 0, 4
51.0, Производственный центр №1, 2, 457
51.0, Производственный центр №2, 2, 2
51.0, Производственный центр №3, 0, 1
51.0, Производственный центр №4, 2, 4
51.0, Производственный центр №5, 0, 4
52.0, Производственный центр №1, 2, 456
52.0, Производственный центр №2, 2, 2
52.0, Производственный центр №3, 0, 1
52.0, Производственный центр №4, 2, 3
52.0, Производственный центр №5, 0, 6
53.0, Производственный центр №1, 2, 455
53.0, Производственный центр №2, 0, 1
53.0, Производственный центр №3, 1, 2
53.0, Производственный центр №4, 3, 4
53.0, Производственный центр №5, 0, 4
54.0, Производственный центр №1, 2, 454
54.0, Производственный центр №2, 2, 2
54.0, Производственный центр №3, 0, 1
54.0, Производственный центр №4, 2, 4
54.0, Производственный центр №5, 0, 5
55.0, Производственный центр №1, 2, 454
55.0, Производственный центр №2, 2, 2
55.0, Производственный центр №3, 0, 1
55.0, Производственный центр №4, 0, 2
55.0, Производственный центр №5, 2, 5
56.0, Производственный центр №1, 2, 452
56.0, Производственный центр №2, 0, 1
56.0, Производственный центр №3, 1, 2
56.0, Производственный центр №4, 3, 4
56.0, Производственный центр №5, 0, 3
57.0, Производственный центр №1, 2, 452
57.0, Производственный центр №2, 0, 1
57.0, Производственный центр №3, 1, 2
57.0, Производственный центр №4, 3, 4
57.0, Производственный центр №5, 0, 3
58.0, Производственный центр №1, 2, 452
58.0, Производственный центр №2, 2, 1
58.0, Производственный центр №3, 2, 2
58.0, Производственный центр №4, 0, 1
58.0, Производственный центр №5, 0, 6
59.0, Производственный центр №1, 2, 450
59.0, Производственный центр №2, 0, 1
59.0, Производственный центр №3, 0, 1
59.0, Производственный центр №4, 2, 3
59.0, Производственный центр №5, 2, 5
60.0, Производственный центр №1, 2, 450
60.0, Производственный центр №2, 0, 1
60.0, Производственный центр №3, 0, 1
60.0, Производственный центр №4, 3, 3
60.0, Производственный центр №5, 1, 3
61.0, Производственный центр №1, 2, 449
61.0, Производственный центр №2, 2, 2
61.0, Производственный центр №3, 0, 1
61.0, Производственный центр №4, 2, 2
61.0, Производственный центр №5, 0, 4
62.0, Производственный центр №1, 2, 448
62.0, Производственный центр №2, 2, 2
62.0, Производственный центр №3, 0, 1
62.0, Производственный центр №4, 2, 3
62.0, Производственный центр №5, 0, 2
63.0, Производственный центр №1, 2, 447
63.0, Производственный центр №2, 0, 1
63.0, Производственный центр №3, 2, 2
63.0, Производственный центр №4, 2, 2
63.0, Производственный центр №5, 0, 4
64.0, Производственный центр №1, 2, 446
64.0, Производственный центр №2, 0, 1
64.0, Производственный центр №3, 2, 2
64.0, Производственный центр №4, 2, 3
64.0, Производственный центр №5, 0, 2
65.0, Производственный центр №1, 2, 445
65.0, Производственный центр №2, 0, 2
65.0, Производственный центр №3, 2, 2
65.0, Производственный центр №4, 2, 3
65.0, Производственный центр №5, 0, 2
66.0, Производственный центр №1, 2, 444
66.0, Производственный центр №2, 2, 2
66.0, Производственный центр №3, 2, 1
66.0, Производственный центр №4, 0, 4
66.0, Производственный центр №5, 0, 3
67.0, Производственный центр №1, 2, 443
67.0, Производственный центр №2, 2, 2
67.0, Производственный центр №3, 0, 1
67.0, Производственный центр №4, 2, 3
67.0, Производственный центр №5, 0, 5
68.0, Производственный центр №1, 2, 442
68.0, Производственный центр №2, 0, 1
68.0, Производственный центр №3, 1, 2
68.0, Производственный центр №4, 3, 4
68.0, Производственный центр №5, 0, 3
69.0, Производственный центр №1, 2, 442
69.0, Производственный центр №2, 0, 1
69.0, Производственный центр №3, 1, 1
69.0, Производственный центр №4, 3, 4
69.0, Производственный центр №5, 0, 4
70.0, Производственный центр №1, 2, 440
70.0, Производственный центр №2, 2, 3
70.0, Производственный центр №3, 0, 1
70.0, Производственный центр №4, 0, 1
70.0, Производственный центр №5, 2, 5
71.0, Производственный центр №1, 2, 440
